position_x, position_y, longitudinal_velocity_mps
1.0,0.0,0.2
2.0,0.0,0.4
3.0,0.0,0.6
4.0,0.0,0.8
5.0,0.0,1.0
6.0,0.0,1.2
7.0,0.0,1.4
8.0,0.0,1.6
9.0,0.0,1.8
10.0,0.0,2.0
11.0,0.0,2.2
12.0,0.0,2.4
13.0,0.0,2.6
14.0,0.0,2.8
15.0,0.0,3.0
16.0,0.0,3.2
17.0,0.0,3.4
18.0,0.0,3.6
19.0,0.0,3.8
20.0,0.0,4.0
21.0,0.0,4.2
22.0,0.0,4.4
23.0,0.0,4.6
24.0,0.0,4.8
25.0,0.0,5.0
26.0,0.0,5.2
27.0,0.0,5.4
28.0,0.0,5.6
29.0,0.0,5.8
30.0,0.0,6.0
31.0,0.0,6.2
32.0,0.0,6.4
33.0,0.0,6.6
34.0,0.0,6.8
35.0,0.0,7.0
36.0,0.0,7.2
37.0,0.0,7.4
38.0,0.0,7.6
39.0,0.0,7.8
40.0,0.0,8.0
41.0,0.0,8.2
42.0,0.0,8.4
43.0,0.0,8.6
44.0,0.0,8.8
45.0,0.0,9.0
46.0,0.0,9.2
47.0,0.0,9.4
48.0,0.0,9.6
49.0,0.0,9.8
50.0,0.0,10.0
51.0,0.0,9.8
52.0,0.0,9.6
53.0,0.0,9.4
54.0,0.0,9.2
55.0,0.0,9.0
56.0,0.0,8.8
57.0,0.0,8.6
58.0,0.0,8.4
59.0,0.0,8.2
60.0,0.0,8.0
61.0,0.0,7.8
62.0,0.0,7.6
63.0,0.0,7.4
64.0,0.0,7.2
65.0,0.0,7.0
66.0,0.0,6.8
67.0,0.0,6.6
68.0,0.0,6.4
69.0,0.0,6.2
70.0,0.0,6.0
71.0,0.0,5.8
72.0,0.0,5.6
73.0,0.0,5.4
74.0,0.0,5.2
75.0,0.0,5.0
76.0,0.0,4.8
77.0,0.0,4.6
78.0,0.0,4.4
79.0,0.0,4.2
80.0,0.0,4.0
81.0,0.0,3.8
82.0,0.0,3.6
83.0,0.0,3.4
84.0,0.0,3.2
85.0,0.0,3.0
86.0,0.0,2.8
87.0,0.0,2.6
88.0,0.0,2.4
89.0,0.0,2.2
90.0,0.0,2.0
91.0,0.0,1.8
92.0,0.0,1.6
93.0,0.0,1.4
94.0,0.0,1.2
95.0,0.0,1.0
96.0,0.0,0.8
97.0,0.0,0.6
98.0,0.0,0.4
99.0,0.0,0.2
100.0,0.0,0.0
