position_x, position_y, longitudinal_velocity_mps
1.0,0.0,3.0
2.0,0.0,3.0
3.0,0.0,3.0
4.0,0.0,3.0
5.0,0.0,3.0
6.0,0.0,3.0
7.0,0.0,3.0
8.0,0.0,3.0
9.0,0.0,3.0
10.0,0.0,3.0
11.0,0.0,3.0
12.0,0.0,3.0
13.0,0.0,3.0
14.0,0.0,3.0
15.0,0.0,3.0
16.0,0.0,3.0
17.0,0.0,3.0
18.0,0.0,3.0
19.0,0.0,3.0
20.0,0.0,3.0
21.0,0.0,3.0
22.0,0.0,3.0
23.0,0.0,3.0
24.0,0.0,3.0
25.0,0.0,3.0
26.0,0.0,3.0
27.0,0.0,3.0
28.0,0.0,3.0
29.0,0.0,3.0
30.0,0.0,3.0
30.0,1.0,3.0
30.0,2.0,3.0
30.0,3.0,3.0
30.0,4.0,3.0
30.0,5.0,3.0
30.0,6.0,3.0
30.0,7.0,3.0
30.0,8.0,3.0
30.0,9.0,3.0
30.0,10.0,3.0
30.0,11.0,3.0
30.0,12.0,3.0
30.0,13.0,3.0
30.0,14.0,3.0
30.0,15.0,3.0
30.0,16.0,3.0
30.0,17.0,3.0
30.0,18.0,3.0
30.0,19.0,3.0
30.0,20.0,3.0
30.0,21.0,3.0
30.0,22.0,3.0
30.0,23.0,3.0
30.0,24.0,3.0
30.0,25.0,3.0
30.0,26.0,3.0
30.0,27.0,3.0
30.0,28.0,3.0
30.0,29.0,3.0
30.0,30.0,3.0
30.0,31.0,3.0
30.0,32.0,3.0
30.0,33.0,3.0
30.0,34.0,3.0
30.0,35.0,3.0
30.0,36.0,3.0
30.0,37.0,3.0
30.0,38.0,3.0
30.0,39.0,3.0
30.0,40.0,3.0
31.0,40.0,3.0
32.0,40.0,3.0
33.0,40.0,3.0
34.0,40.0,3.0
35.0,40.0,3.0
36.0,40.0,3.0
37.0,40.0,3.0
38.0,40.0,3.0
39.0,40.0,3.0
40.0,40.0,3.0
41.0,40.0,3.0
42.0,40.0,3.0
43.0,40.0,3.0
44.0,40.0,3.0
45.0,40.0,3.0
46.0,40.0,2.8
47.0,40.0,2.6
48.0,40.0,2.4
49.0,40.0,2.2
50.0,40.0,2.0
51.0,40.0,1.8
52.0,40.0,1.6
53.0,40.0,1.4
54.0,40.0,1.2
55.0,40.0,1.0
56.0,40.0,0.8
57.0,40.0,0.6
58.0,40.0,0.4
59.0,40.0,0.2
60.0,40.0,0.0
